date,state,pm2_5,pm10,o3,no2,so2,co
2/25/2019,gujrat,124, ,25,20,16,3
2/26/2019,gujrat,142, ,31,24,14,4
2/27/2019,gujrat,128, ,37,34,25,4
2/28/2019,gujrat,96, ,37,39,24,4
3/1/2019,gujrat,117, ,48,32,30,4
3/2/2019,gujrat,123, ,16,22,23,4
3/3/2019,gujrat,146, ,33,19,13,4
3/4/2019,gujrat,129, ,44,31,17,3
3/5/2019,gujrat,108, ,42,33,22,4
3/6/2019,gujrat,121, ,45,33,24,4
3/7/2019,gujrat,130, ,32,25,22,4
3/8/2019,gujrat,122, ,38,21,7,4
3/9/2019,gujrat,129, ,49,36,30,3
3/10/2019,gujrat,118, ,35,22,18,5
3/11/2019,gujrat,123, ,46,47,30,4
3/12/2019,gujrat,143, ,44,50,37,4
3/13/2019,gujrat,165, ,37,28,12,5
3/14/2019,gujrat,132, ,44,39,23,3
3/15/2019,gujrat,146, ,44,43,29,4
3/16/2019,gujrat,148, ,51,45,27,4
3/17/2019,gujrat,152, ,46,48,20,5
3/18/2019,gujrat,144, ,45,44,20,5
3/19/2019,gujrat,163, ,22,27,19,4
3/20/2019,gujrat,155, ,35,27,18,5
3/21/2019,gujrat,139, ,39,30,14,4
3/22/2019,gujrat,151, ,44,44,27,4
3/23/2019,gujrat,160, ,34,32,19,4
3/24/2019,gujrat,166, ,33,37,30,5
3/25/2019,gujrat,148, ,40,40,30,5
3/26/2019,gujrat,154, ,53,40,33,4
3/27/2019,gujrat,152, ,37,41,40,4
3/28/2019,gujrat,190, ,20,28,21,3
3/29/2019,gujrat,204, ,15,31,4,5
3/30/2019,gujrat,164, ,21,27,5,5
3/31/2019,gujrat,158, ,26,41,8,5
11/30/2018,gujrat,167, ,27,36,24,11
12/1/2018,gujrat,172, ,23,44,32,6
12/2/2018,gujrat,169, ,27,43,20,4
12/3/2018,gujrat,166, ,24,36,16,4
12/4/2018,gujrat,174, ,15,42,12,4
12/5/2018,gujrat,171, , , , , 
12/7/2018,gujrat,176, ,31,35,25,4
12/8/2018,gujrat,158, ,31,40,22,4
12/9/2018,gujrat,156, ,25,49,29,4
12/10/2018,gujrat,171, ,13,51,55,5
12/11/2018,gujrat,194, , , , , 
12/15/2018,gujrat,147, ,34,20,10,4
12/16/2018,gujrat,141, ,36,25,14,4
12/17/2018,gujrat,140, ,34,33,17,5
12/18/2018,gujrat,294, ,37,45,30,5
12/19/2018,gujrat,191, ,32,36,41,5
12/20/2018,gujrat,180, , ,39,29,4
12/21/2018,gujrat,168, ,36,42,39,5
12/22/2018,gujrat,185, ,37,42,28,4
12/23/2018,gujrat,183, ,35,43,27,5
12/24/2018,gujrat,158, ,39,43,31,4
12/25/2018,gujrat,158, ,36,36,27,4
12/26/2018,gujrat,171, ,33,33,31,4
12/27/2018,gujrat,157, ,30,38,34,4
12/28/2018,gujrat,162, ,30,38,29,4
12/29/2018,gujrat,151, ,36,38,29,4
12/30/2018,gujrat,149, , , , , 
4/3/2018,gujrat,149, ,38,27,28,15
4/4/2018,gujrat,148, ,31,33,32,17
4/5/2018,gujrat,181, ,9,21,35,12
4/6/2018,gujrat,183, ,41,30,27,13
4/7/2018,gujrat,169, ,43,30,39,14
4/8/2018,gujrat,227, ,36,26,23,9
4/9/2018,gujrat,169, ,21,30,45,14
4/10/2018,gujrat,193, ,15,28,42,13
4/11/2018,gujrat,172, ,23,27,35,12
4/12/2018,gujrat,170, , , , , 
1/1/2018,gujrat,168, ,79,36,46,8
1/2/2018,gujrat,162, ,56,33,33,8
1/3/2018,gujrat,149, ,142,47,49,16
1/4/2018,gujrat,163, ,30,80,50,12
1/5/2018,gujrat,160, ,38,66,52,14
1/6/2018,gujrat,163, ,35,62,49,13
1/7/2018,gujrat,163, ,36,60,46,11
1/8/2018,gujrat,165, ,35,41,42,8
1/9/2018,gujrat,158, ,35,56,53,12
1/10/2018,gujrat,160, ,39,55,44,17
1/11/2018,gujrat,172, ,31,61,49,23
1/12/2018,gujrat,190, ,23,56,51,10
1/13/2018,gujrat,163, ,2,56,31,21
1/14/2018,gujrat,208, ,32,49,41,11
1/15/2018,gujrat,176, ,3,62,49,14
1/16/2018,gujrat,169, ,17,31,41,12
1/17/2018,gujrat,167, ,21,32,32,9
1/18/2018,gujrat,128, ,12,39,44,11
1/19/2018,gujrat,167, ,33,63,54,23
1/20/2018,gujrat,170, ,25,101,74,28
1/21/2018,gujrat,179, ,36,67,59,11
1/22/2018,gujrat,175, ,29,39,43,10
1/23/2018,gujrat,145, ,31,60,52,19
1/24/2018,gujrat,176, ,40,68,71,29
1/25/2018,gujrat,199, ,38,69,59,22
1/26/2018,gujrat,181, ,46,62,68,10
1/27/2018,gujrat,178, ,40,50,60,15
1/28/2018,gujrat,169, ,38,73,55,18
1/29/2018,gujrat,181, ,40,84,66,25
1/30/2018,gujrat,187, ,25,76,97,39
1/31/2018,gujrat,189, ,29,82,127,35
2/1/2018,gujrat,264, ,35,70,57,13
2/2/2018,gujrat,171, ,3,99,57,17
2/3/2018,gujrat,172, ,3,97,56,16
2/4/2018,gujrat,173, ,28,87,62,18
2/5/2018,gujrat,169, ,26,71,82,17
2/6/2018,gujrat,180, ,44,73,61,15
2/7/2018,gujrat,188, ,40,63,57,13
2/8/2018,gujrat,154, ,35,76,81,23
2/9/2018,gujrat,178, ,33,75,188,30
2/10/2018,gujrat,259, ,21,47,127,11
2/11/2018,gujrat,166, ,31,49,95,11
2/12/2018,gujrat,165, ,35,47,40,8
2/13/2018,gujrat,153, ,29,45,42,9
2/14/2018,gujrat,156, ,32,51,51,11
2/15/2018,gujrat,136, ,31,80,70,15
2/16/2018,gujrat,163, ,37,77,58,19
2/17/2018,gujrat,165, ,46,80,105,28
2/18/2018,gujrat,284, ,46,77,144,50
2/19/2018,gujrat,298, ,28,72,71,33
2/20/2018,gujrat,198, ,43,74,62,20
2/21/2018,gujrat,174, ,30,62,58,24
2/22/2018,gujrat,172, ,15,64,117,24
2/23/2018,gujrat,208, , , , , 
2/25/2018,gujrat,112, ,26,61,57,13
2/26/2018,gujrat,133, ,26,66,69,14
2/27/2018,gujrat,145, ,44,79,73,16
2/28/2018,gujrat,145, ,8,53,61,9
3/1/2018,gujrat,146, , ,48,61,8
3/2/2018,gujrat,145, ,31,48,37,9
